# Trading Instruments Configuration
# List of instrument tokens to subscribe to for market data
# tradingsymbol, name and exchange are for reference and optional
# Format: instrument_token,tradingsymbol,name,exchange
256265,NIFTY50,NIFTY 50,NSE
260105,BANKNIFTY,NIFTY BANK,NSE
738561,RELIANCE,RELIANCE INDUSTRIES,NSE
408065,BAJFINANCE,BAJAJ FINANCE,NSE
81153,TCS,TATA CONSULTANCY SERVICES,NSE
1270529,ICICIBANK,ICICI BANK,NSE
492033,KOTAKBANK,KOTAK MAHINDRA BANK,NSE
2815745,BAJAJFINSV,BAJAJ FINSERV,NSE
4267265,ASIANPAINT,ASIAN PAINTS,NSE
177665,TITAN,TITAN COMPANY,NSE
3861249,MARUTI,MARUTI SUZUKI INDIA,NSE
225537,ULTRACEMCO,ULTRATECH CEMENT,NSE
1346049,ADANIPORTS,ADANI PORTS & SEZ,NSE
2939649,NTPC,NTPC,NSE
140033,BHARTIARTL,BHARTI AIRTEL,NSE
3050241,POWERGRID,POWER GRID CORP,NSE
1195009,M&M,MAHINDRA & MAHINDRA,NSE
857857,WIPRO,WIPRO,NSE
424961,COALINDIA,COAL INDIA,NSE
2714625,HINDUNILVR,HINDUSTAN UNILEVER,NSE
